UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
Guillermo Lasso,@LassoGuillermo,2021-05-24T16:12:31.000Z,"Las causas del #GobiernoDelEncuentro serán las causas de la gente. Que la voluntad del Gobierno, será la voluntad del pueblo, movido por los mismos objetivos y las mismas esperanzas. 

Nuestra intención es maximizar la capacidad para servir al Ecuador.

#JuntosLoLogramos ",83,538,"2,1 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-24T16:09:01.000Z,"Que esta democracia que hoy recobramos sea para siempre un torrente donde la gente aglutine sus ideales, cada uno más admirable y valioso que otro. Hoy inicia el camino hacia el Ecuador del Encuentro. 

#GobiernoDelEncuentro
#JuntosLoLogramos",156,"1,1 mil","4,9 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-24T15:59:06.000Z,"Empieza el cambio, bienvenidos al Ecuador del Encuentro. 

¡GRACIAS ECUADOR! 

#GobiernoDelEncuentro
#JuntosLoLogramos","1,1 mil","5,7 mil","26,4 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-24T15:43:40.000Z,"“Este 24 de mayo de 2021, empezamos a construir la cultura del ENCUENTRO y de la RECONCILIACIÓN en el Ecuador.
Es momento de trabajar juntos, por los graves problemas, que hoy enfrenta nuestra nación.” - 
@GuadalupeLlori
, Presidenta de la Asamblea Nacional. 

#JuntosLoLogramos",125,620,"3,6 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-21T17:09:04.000Z,"El Secretario Jurídico de la Presidencia será 
@fabianpozo
, un excelente abogado e investigador, comprometido con el futuro del Ecuador. Hoy se une al Gobierno del Encuentro para trabajar con la gente en proyectos de ley y reformas normativas que logren bienestar y prosperidad. ",271,514,"2,9 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-20T22:02:07.000Z,"El Gobierno del encuentro. 

Aquí los ministros y ministras designados, listos para empezar el camino hacia un Ecuador de oportunidades, moderno y abierto al mundo. 

¡4 días para el 24 de Mayo!",693,778,4 mil
Guillermo Lasso,@LassoGuillermo,2021-05-20T17:54:25.000Z,"Con 
@jmerchanhaz
 iniciamos en 2008 este trabajo para elaborar un Plan de Gobierno solidario. Hoy, tengo el orgullo de anunciar que será Secretario de Planifica Ecuador. Confío en su liderazgo y capacidad para la implementación de políticas públicas efectivas para el desarrollo.",108,274,"1,2 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-20T17:40:18.000Z,"Un compañero de ruta, quien ha dirigido el tanque de pensamiento 
@ecuadorlibre
 y la elaboración de los Planes de Gobierno, se une como Consejero Presidencial. 
@AparicioCaicedo
 es una gran guía para este proyecto político. Hoy pone sus capacidades al servicio del país.",527,526,"2,4 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-20T17:38:13.000Z,"En el Gobierno del encuentro, 
@MarceloHCabrera
 se unirá como Ministro de Transporte y Obras Públicas. Tendrá a su cargo una importante cartera de Estado para promover oportunidades de crecimiento y modernización. Impulsaremos la reactivación y obras de desarrollo. ",234,338,"1,9 mil"
Guillermo Lasso,@LassoGuillermo,2021-05-20T17:07:23.000Z,"El Secretario General de Comunicación será 
@Edu_Bonilla
. Por más de 15 años Eduardo ha trabajado en este proyecto político: en el Plan de Gobierno, en territorio y en la comunicación de la campaña. 100% comprometido, dedicado, y con voluntad de trabajar por el cambio.",160,281,"1,5 mil"
